code,gen,spec,genus,species,family,growth form,life form,origin,photo
1,pascop,smith,pascopyrum,smithii,poaceae,p,g,n,c3
2,androp,gerar,andropogon,gerardii,poaceae,p,g,n,c4
3,schiza,scopa,schizachyrium,scoparium,poaceae,p,g,n,c4
4,boutel,curti,bouteloua,curtipendula,poaceae,p,g,n,c4
5,boutel,graci,bouteloua,gracilis,poaceae,p,g,n,c4
6,boutel,hirsu,bouteloua,hirsuta,poaceae,p,g,n,c4
7,boutel,dacty,bouteloua,dactyloides,poaceae,p,g,n,c4
8,chlori,verti,chloris,verticillata,poaceae,p,g,n,c4
9,elymus,canad,elymus,canadensis,poaceae,p,g,n,c3
10,elymus,virgi,elymus,virginicus,poaceae,p,g,n,c3
11,eragro,spect,eragrostis,spectabilis,poaceae,p,g,n,c4
12,koeler,macra,koeleria,macrantha,poaceae,p,g,n,c3
13,muhlen,cuspi,muhlenbergia,cuspidata,poaceae,p,g,n,c4
14,dichan,oligo,dichanthelium,oligosanthes,poaceae,p,g,n,c3
15,panicu,virga,panicum,virgatum,poaceae,p,g,n,c4
16,dichan,ovale,dichanthelium,ovale,poaceae,p,g,n,c3
17,poa,prate,poa,pratensis,poaceae,p,g,i,c3
18,sorgha,nutan,sorghastrum,nutans,poaceae,p,g,n,c4
19,sparti,pecti,spartina,pectinata,poaceae,p,g,n,c4
20,spheno,obtus,sphenopholis,obtusata,poaceae,p,g,n,c3
21,sporob,compo,sporobolus,compositus,poaceae,p,g,n,c4
22,sporob,crypt,sporobolus,cryptandrus,poaceae,p,g,n,c4
23,sporob,heter,sporobolus,heterolepis,poaceae,p,g,n,c4
24,aristi,oliga,aristida,oligantha,poaceae,a,g,n,c4
25,bromus,arven,bromus,arvensis,poaceae,a,g,i,c3
26,bromus,tecto,bromus,tectorum,poaceae,a,g,i,c3
27,vulpia,octof,vulpia,octoflora,poaceae,a,g,n,c3
28,hordeu,pusil,hordeum,pusillum,poaceae,a,g,n,c3
29,panicu,capil,panicum,capillare,poaceae,a,g,n,c4
